"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AAEL008046",0,1.17742864673002,0.556,0.021,0,"7","AAEL008046"
"AAEL0271311",1.53006441888084e-298,1.50447725185858,0.862,0.106,1.82307175509653e-294,"7","AAEL027131"
"AAEL0022531",5.51638882542635e-298,1.5145089587557,0.851,0.109,6.5727772854955e-294,"7","AAEL002253"
"AAEL0112061",3.85844315323202e-285,1.41959562198662,0.778,0.092,4.59733501707595e-281,"7","AAEL011206"
"AAEL0054761",1.02343092832196e-282,1.53760558104799,0.789,0.099,1.21941795109562e-278,"7","AAEL005476"
"AAEL0071971",5.42530385646405e-269,1.72346613263495,0.893,0.148,6.46424954497691e-265,"7","AAEL007197"
"AAEL013525",8.13528970178775e-262,1.10552906862421,0.51,0.035,9.6931976796801e-258,"7","AAEL013525"
"AAEL0112481",2.11823685061441e-251,1.03932130416055,0.533,0.04,2.52387920750707e-247,"7","AAEL011248"
"AAEL0101451",1.92215016314368e-248,1.48486595763879,0.851,0.13,2.29024191938569e-244,"7","AAEL010145"
"AAEL0044791",2.79940424098554e-246,1.59034229758484,0.931,0.194,3.33549015313427e-242,"7","AAEL004479"
"AAEL0199351",1.1255630215784e-245,1.30481246060865,0.693,0.079,1.34110834021066e-241,"7","AAEL019935"
"AAEL0251301",1.43168506226499e-216,1.83120704901229,0.992,0.33,1.70585275168873e-212,"7","AAEL025130"
"AAEL0145101",2.65810907567404e-216,1.55940524692388,0.973,0.281,3.16713696366561e-212,"7","AAEL014510"
"AAEL0049301",5.21964981670786e-206,1.02672953915567,0.54,0.054,6.21921275660741e-202,"7","AAEL004930"
"AAEL0067071",8.36479768232819e-203,1.53843780324436,0.931,0.262,9.96665643849404e-199,"7","AAEL006707"
"AAEL0096581",1.02747133556073e-202,1.38382978489782,0.851,0.176,1.22423209632061e-198,"7","AAEL009658"
"AAEL0254771",4.67423405799902e-201,1.33397690258247,0.87,0.16,5.56934988010583e-197,"7","AAEL025477"
"AAEL0275141",6.73335559994265e-194,1.31566353174612,0.797,0.156,8.02279319733166e-190,"7","AAEL027514"
"AAEL0224931",5.24382802130804e-189,1.33274462896959,0.686,0.112,6.24802108738853e-185,"7","AAEL022493"
"AAEL018117",1.47825232646346e-177,1.33699336332471,0.762,0.157,1.76133764698121e-173,"7","AAEL018117"
"AAEL019987",3.99558765725029e-169,1.09931716824865,0.575,0.082,4.76074269361372e-165,"7","AAEL019987"
"AAEL007322",1.32819249360808e-163,1.06302151617734,0.582,0.086,1.58254135613403e-159,"7","AAEL007322"
"AAEL0270991",5.13354626244737e-162,1.29911775285217,0.985,0.486,6.11662037170604e-158,"7","AAEL027099"
"AAEL0012991",1.62532752335166e-157,1.08232279870035,0.636,0.102,1.93657774407351e-153,"7","AAEL001299"
"AAEL0087051",3.01239600255359e-157,1.24472876802115,0.739,0.162,3.5892698370426e-153,"7","AAEL008705"
"AAEL0045831",1.00145443920016e-154,1.14971717840297,0.77,0.156,1.193232964307e-150,"7","AAEL004583"
"AAEL0187001",3.76847094321141e-146,1.12427454228229,0.973,0.522,4.49013312883639e-142,"7","AAEL018700"
"AAEL0181543",5.11235917945027e-146,1.26689254236783,0.808,0.213,6.09137596231499e-142,"7","AAEL018154"
"AAEL023107",4.66164684922304e-142,1.01548866464227,0.981,0.618,5.55435222084925e-138,"7","AAEL023107"
"AAEL0196941",1.41426985526331e-134,1.19174295968589,0.755,0.189,1.68510253254623e-130,"7","AAEL019694"
"AAEL0197721",2.85174948752197e-112,1.06685445683758,0.732,0.211,3.39785951438242e-108,"7","AAEL019772"
"AAEL0110881",8.10272843369449e-101,1.07206955807468,0.655,0.185,9.65440092874699e-97,"7","AAEL011088"
"AAEL007120",1.87535417252413e-176,1.23697212138444,0.784,0.139,2.23448449656251e-172,"8","AAEL007120"
"AAEL014125",3.08454838175603e-150,1.07082917824249,0.604,0.09,3.67523939686231e-146,"8","AAEL014125"
"AAEL006644",5.83064198339734e-288,1.51200169314233,0.886,0.088,6.94720992321793e-284,"9","AAEL006644"
"AAEL005754",2.64139804792766e-139,1.19224996904265,0.815,0.162,3.14722577410581e-135,"9","AAEL005754"
"AAEL011013",1.84892112640518e-125,1.1283430759333,0.728,0.131,2.20298952211178e-121,"9","AAEL011013"
