"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pharaoh-ant-079726",2.88795695586933e-50,1.12867381093873,0.757,0.478,3.51984193781354e-46,"24","Pharaoh-ant-07972"
"Pharaoh-ant-015387",1.08223194856931e-49,1.04843572890573,0.635,0.33,1.31902429891628e-45,"24","Pharaoh-ant-01538"
"Pharaoh-ant-083336",3.99727986769168e-49,1.04625088105666,0.801,0.563,4.87188470274263e-45,"24","Pharaoh-ant-08333"
"Pharaoh-ant-012347",4.1046204702079e-49,1.01514554393002,0.686,0.373,5.00271142908938e-45,"24","Pharaoh-ant-01234"
"Pharaoh-ant-149758",2.81346918399667e-47,1.15854486673785,0.51,0.23,3.42905624145514e-43,"24","Pharaoh-ant-14975"
"Pharaoh-ant-122946",5.21131240205151e-47,1.24196102365815,0.461,0.198,6.35154755562038e-43,"24","Pharaoh-ant-12294"
"Pharaoh-ant-057355",9.96377387014503e-47,1.12273295596849,0.559,0.279,1.21438475929328e-42,"24","Pharaoh-ant-05735"
"Pharaoh-ant-015006",1.40756058193328e-46,1.05446870449567,0.733,0.472,1.71553483726028e-42,"24","Pharaoh-ant-01500"
"Pharaoh-ant-051925",2.94761797805294e-46,1.2217435945401,0.5,0.231,3.59255679165092e-42,"24","Pharaoh-ant-05192"
"Pharaoh-ant-136464",6.88779428171574e-45,1.14109072054306,0.461,0.197,8.39484367055514e-41,"24","Pharaoh-ant-13646"
"Pharaoh-ant-181677",1.35371738292804e-44,1.06869506156011,0.625,0.351,1.64991074631269e-40,"24","Pharaoh-ant-18167"
"Pharaoh-ant-116745",7.26292366896006e-43,1.24489221430709,0.468,0.217,8.85205136772852e-39,"24","Pharaoh-ant-11674"
"Pharaoh-ant-03324",2.20598313092636e-39,1.2949541164795,0.316,0.117,2.68865223997305e-35,"24","Pharaoh-ant-03324"
"Pharaoh-ant-075225",1.74813634866267e-38,1.16481372494982,0.419,0.189,2.13062858175007e-34,"24","Pharaoh-ant-07522"
"Pharaoh-ant-056764",1.28498180400278e-37,1.08641759911709,0.593,0.352,1.56613582271859e-33,"24","Pharaoh-ant-05676"
"Pharaoh-ant-032944",2.86779003650297e-37,1.18817072516556,0.328,0.126,3.49526249648981e-33,"24","Pharaoh-ant-03294"
"Pharaoh-ant-077036",4.36099155810134e-37,1.07643435482692,0.473,0.231,5.31517651101392e-33,"24","Pharaoh-ant-07703"
"Pharaoh-ant-140575",2.53311499674601e-36,1.01600701682088,0.419,0.187,3.08736055803403e-32,"24","Pharaoh-ant-14057"
"MPWPB.535.18",6.03279888025353e-35,1.06270883732395,0.319,0.124,7.352775275253e-31,"24","MPWPB.535.18"
"Pharaoh-ant-136705",5.84949218431158e-34,1.01966684872811,0.603,0.37,7.12936107423895e-30,"24","Pharaoh-ant-13670"
"Pharaoh-ant-138023",8.31832467932599e-34,1.30428941933715,0.348,0.145,1.01383741191625e-29,"24","Pharaoh-ant-13802"
"Pharaoh-ant-175233",8.87053207141155e-34,1.19703572284604,0.404,0.189,1.08114044886364e-29,"24","Pharaoh-ant-17523"
"Pharaoh-ant-108663",1.26669349209221e-32,1.04436825572869,0.355,0.154,1.54384602816199e-28,"24","Pharaoh-ant-10866"
"Pharaoh-ant-097666",7.98037531377365e-32,1.09775518743251,0.434,0.213,9.72648143242733e-28,"24","Pharaoh-ant-09766"
"Pharaoh-ant-170812",3.79611559631382e-30,1.14499612756686,0.292,0.117,4.62670568878728e-26,"24","Pharaoh-ant-17081"
"Pharaoh-ant-080636",1.78140348738076e-23,1.14071014517621,0.326,0.157,2.17117457041967e-19,"24","Pharaoh-ant-08063"
"Pharaoh-ant-013653",2.19277771804518e-23,1.01861633299243,0.333,0.163,2.67255748275347e-19,"24","Pharaoh-ant-01365"
"Pharaoh-ant-08167",0,2.3060565485755,0.491,0.048,0,"25","Pharaoh-ant-08167"
"Pharaoh-ant-027526",1.24360739335235e-56,1.00763686967139,0.822,0.474,1.51570869101785e-52,"25","Pharaoh-ant-02752"
