"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pharaoh-ant-07746",3.41188561760838e-41,1.20953355349848,0.312,0.096,4.15840619074109e-37,"30","Pharaoh-ant-07746"
"Pharaoh-ant-170469",5.23858862862989e-41,1.47355598551585,0.555,0.269,6.38479182057411e-37,"30","Pharaoh-ant-17046"
"Pharaoh-ant-184091",1.86714607420589e-40,1.50335306089088,0.258,0.071,2.27567763524214e-36,"30","Pharaoh-ant-18409"
"Pharaoh-ant-008231",4.01927212413503e-40,1.34176681842232,0.582,0.296,4.89868886489578e-36,"30","Pharaoh-ant-00823"
"Pharaoh-ant-221623",5.56379134344782e-40,1.10917350816769,0.332,0.107,6.7811488893942e-36,"30","Pharaoh-ant-22162"
"Pharaoh-ant-097982",4.36624641351669e-37,1.13091119289144,0.258,0.074,5.32158112879414e-33,"30","Pharaoh-ant-09798"
"Pharaoh-ant-001091",1.99573278653603e-35,1.26198478368388,0.323,0.113,2.43239912023012e-31,"30","Pharaoh-ant-00109"
"Pharaoh-ant-032651",3.35471584236075e-35,1.7041025025831,0.383,0.156,4.08872766866929e-31,"30","Pharaoh-ant-03265"
"Pharaoh-ant-05848",2.64422700771609e-32,1.16450911330489,0.261,0.084,3.22278387700437e-28,"30","Pharaoh-ant-05848"
"Pharaoh-ant-220502",3.06288835813144e-32,1.30358944586515,0.475,0.227,3.7330483308906e-28,"30","Pharaoh-ant-22050"
"Pharaoh-ant-08005",1.10261159057823e-31,1.19808270783154,0.255,0.081,1.34386300659674e-27,"30","Pharaoh-ant-08005"
"Pharaoh-ant-11821",4.06315798124568e-31,1.20946747989153,0.303,0.109,4.95217694754224e-27,"30","Pharaoh-ant-11821"
"Pharaoh-ant-056076",8.53674442363572e-31,1.26719004201001,0.599,0.347,1.04045841035272e-26,"30","Pharaoh-ant-05607"
"Pharaoh-ant-02925",2.45163809344852e-28,1.13242128707775,0.611,0.367,2.98805650829506e-24,"30","Pharaoh-ant-02925"
"Pharaoh-ant-101016",1.3605747277877e-27,1.1222323711025,0.484,0.252,1.65826847822765e-23,"30","Pharaoh-ant-10101"
"Pharaoh-ant-13110",5.4924681535123e-27,1.14716032009462,0.359,0.153,6.6942201855008e-23,"30","Pharaoh-ant-13110"
"Pharaoh-ant-136512",9.68535614109737e-27,1.53018334397796,0.436,0.222,1.18045120647695e-22,"30","Pharaoh-ant-13651"
"Pharaoh-ant-167465",1.65449787234836e-25,1.17888893890251,0.632,0.402,2.01650200681818e-21,"30","Pharaoh-ant-16746"
"Pharaoh-ant-05749",4.72622704829441e-25,1.11591572937551,0.252,0.091,5.76032552646123e-21,"30","Pharaoh-ant-05749"
"Pharaoh-ant-132321",7.7323855445452e-25,1.05394390539866,0.466,0.246,9.42423150169169e-21,"30","Pharaoh-ant-13232"
"Pharaoh-ant-141251",1.60993911336827e-24,1.39593651161141,0.273,0.106,1.96219379137325e-20,"30","Pharaoh-ant-14125"
"Pharaoh-ant-135781",1.53294008043863e-23,1.14335991213038,0.309,0.131,1.8683473700386e-19,"30","Pharaoh-ant-13578"
"Pharaoh-ant-007414",5.34868706338961e-22,1.02727182472785,0.389,0.188,6.51897979285926e-18,"30","Pharaoh-ant-00741"
"Pharaoh-ant-156232",6.56166650947703e-22,0.845863059284162,0.362,0.167,7.99735914175061e-18,"30","Pharaoh-ant-15623"
"Pharaoh-ant-1715710",1.2054974489596e-21,0.919330679445171,0.472,0.256,1.46926029079196e-17,"30","Pharaoh-ant-17157"
"Pharaoh-ant-038455",2.38142284327875e-21,1.17723668348835,0.433,0.233,2.90247816138814e-17,"30","Pharaoh-ant-03845"
"Pharaoh-ant-095732",7.73296028588297e-21,1.00756710150752,0.412,0.215,9.42493199643416e-17,"30","Pharaoh-ant-09573"
"Pharaoh-ant-187674",5.4823369547354e-20,0.981723234341539,0.51,0.303,6.6818722804315e-16,"30","Pharaoh-ant-18767"
"Pharaoh-ant-132311",1.02424438311938e-18,0.969885603266015,0.412,0.231,1.2483490541459e-14,"30","Pharaoh-ant-13231"
"Pharaoh-ant-073392",1.02485918743422e-18,0.943512947051744,0.32,0.149,1.24909837764483e-14,"30","Pharaoh-ant-07339"
"Pharaoh-ant-133185",1.40532470029981e-18,0.887091146734209,0.466,0.27,1.7128097447254e-14,"30","Pharaoh-ant-13318"
"Pharaoh-ant-167869",5.26319656237877e-18,0.972518173206515,0.475,0.285,6.41478397022725e-14,"30","Pharaoh-ant-16786"
"Pharaoh-ant-115224",5.43330100463659e-18,0.839294362653392,0.635,0.434,6.62210726445107e-14,"30","Pharaoh-ant-11522"
"Pharaoh-ant-152866",9.46454473771271e-18,1.22971062066723,0.421,0.246,1.15353871263242e-13,"30","Pharaoh-ant-15286"
"Pharaoh-ant-021573",9.85428886832285e-18,0.958732432464033,0.439,0.249,1.20104072727119e-13,"30","Pharaoh-ant-02157"
"Pharaoh-ant-063421",3.33701532459034e-17,0.928347209736886,0.528,0.35,4.06715427761071e-13,"30","Pharaoh-ant-06342"
"Pharaoh-ant-08057",6.21295235139639e-17,0.914810613269441,0.32,0.162,7.57234632588192e-13,"30","Pharaoh-ant-08057"
"Pharaoh-ant-079914",1.05451897590579e-16,0.872415312248601,0.312,0.151,1.28524772783397e-12,"30","Pharaoh-ant-07991"
"Pharaoh-ant-110895",1.32445050153437e-15,0.919440619564502,0.51,0.331,1.61424027127009e-11,"30","Pharaoh-ant-11089"
"Pharaoh-ant-006332",4.00197421563799e-15,1.01313628912915,0.359,0.204,4.87760617401958e-11,"30","Pharaoh-ant-00633"
"Pharaoh-ant-151177",7.96820245316417e-15,0.867079008254925,0.421,0.254,9.71164514991649e-11,"30","Pharaoh-ant-15117"
"Pharaoh-ant-220095",3.18464252312818e-14,0.781102029043726,0.398,0.236,3.88144230718863e-10,"30","Pharaoh-ant-22009"
"Pharaoh-ant-134992",5.09436656588288e-14,0.691136050847653,0.653,0.492,6.20901397049805e-10,"30","Pharaoh-ant-13499"
"Pharaoh-ant-060097",6.90076520827038e-14,0.803740105470595,0.294,0.148,8.41065263583994e-10,"30","Pharaoh-ant-06009"
"Pharaoh-ant-16055",1.59488065672421e-13,0.938331161584929,0.303,0.164,1.94384054441547e-09,"30","Pharaoh-ant-16055"
"Pharaoh-ant-139667",1.76127461802395e-13,0.76079159010122,0.629,0.471,2.14664150444759e-09,"30","Pharaoh-ant-13966"
"Pharaoh-ant-035254",1.85593193756674e-13,0.637505367932373,0.543,0.37,2.26200984550634e-09,"30","Pharaoh-ant-03525"
"Pharaoh-ant-15774",2.72194691615875e-13,0.973785360896338,0.3,0.161,3.31750890141428e-09,"30","Pharaoh-ant-15774"
"Pharaoh-ant-10581",3.18288582334707e-13,0.853119964886854,0.255,0.127,3.87930124149541e-09,"30","Pharaoh-ant-10581"
"Pharaoh-ant-096315",4.84097344371531e-13,0.912306157087316,0.463,0.308,5.90017843320022e-09,"30","Pharaoh-ant-09631"
"Pharaoh-ant-10720",5.10030949158988e-13,0.965550732603689,0.258,0.13,6.21625720834974e-09,"30","Pharaoh-ant-10720"
"Pharaoh-ant-14983",1.9197372872133e-12,0.766670098931398,0.264,0.135,2.33977580565556e-08,"30","Pharaoh-ant-14983"
"Pharaoh-ant-120412",2.11473916445648e-12,0.652576892429352,0.585,0.427,2.57744409363956e-08,"30","Pharaoh-ant-12041"
"Pharaoh-ant-151652",4.74545762668545e-12,0.651105580909363,0.567,0.408,5.78376375540423e-08,"30","Pharaoh-ant-15165"
"Pharaoh-ant-162455",5.05354698469325e-12,0.757096308258034,0.697,0.561,6.15926306494413e-08,"30","Pharaoh-ant-16245"
"Pharaoh-ant-200949",5.29658892243145e-12,0.675514865956605,0.926,0.825,6.45548257865945e-08,"30","Pharaoh-ant-20094"
"Pharaoh-ant-181466",3.17285551528332e-11,0.639709505486156,0.608,0.457,3.86707630202731e-07,"30","Pharaoh-ant-18146"
"Pharaoh-ant-072215",7.65027545147064e-11,0.733721018428997,0.591,0.454,9.32415572025242e-07,"30","Pharaoh-ant-07221"
"Pharaoh-ant-104511",9.68257193080109e-11,0.79700430222043,0.421,0.273,1.18011186692604e-06,"30","Pharaoh-ant-10451"
"Pharaoh-ant-012475",1.07908570982517e-10,0.671793225755981,0.288,0.159,1.31518966313491e-06,"30","Pharaoh-ant-01247"
"Pharaoh-ant-078371",2.13476639455003e-10,0.482654464254853,0.745,0.615,2.60185328167757e-06,"30","Pharaoh-ant-07837"
"Pharaoh-ant-038243",3.78327025082383e-10,0.579613174564681,0.534,0.379,4.61104978170409e-06,"30","Pharaoh-ant-03824"
"Pharaoh-ant-104612",3.86892921467083e-10,0.484438884801749,0.748,0.626,4.71545092684081e-06,"30","Pharaoh-ant-10461"
"Pharaoh-ant-028721",4.19298953993073e-10,0.687113126406631,0.315,0.188,5.11041565126757e-06,"30","Pharaoh-ant-02872"
"Pharaoh-ant-120165",5.50336180382039e-10,0.584713601853325,0.297,0.169,6.70749736649629e-06,"30","Pharaoh-ant-12016"
"Pharaoh-ant-117753",1.61752824538848e-09,0.694908385111837,0.32,0.199,1.97144342547948e-05,"30","Pharaoh-ant-11775"
"Pharaoh-ant-152227",1.74621019643084e-09,0.592567148950031,0.383,0.244,2.12828098740991e-05,"30","Pharaoh-ant-15222"
"Pharaoh-ant-092043",2.08095596264211e-09,0.579370588939942,0.401,0.258,2.53626912726821e-05,"30","Pharaoh-ant-09204"
"Pharaoh-ant-009515",2.47748066152767e-09,0.807844075169971,0.341,0.221,3.01955343026992e-05,"30","Pharaoh-ant-00951"
"Pharaoh-ant-132403",4.11143710725071e-09,0.461578608666531,0.656,0.522,5.01101954631716e-05,"30","Pharaoh-ant-13240"
"Pharaoh-ant-137893",4.31736104664494e-09,0.712612739758825,0.353,0.228,5.26199964365085e-05,"30","Pharaoh-ant-13789"
"Pharaoh-ant-168963",6.43984184400216e-09,0.623814521099308,0.596,0.459,7.84887923946983e-05,"30","Pharaoh-ant-16896"
"Pharaoh-ant-025313",1.28810644007531e-08,0.47652898595467,0.445,0.299,0.000156994412916378,"30","Pharaoh-ant-02531"
"Pharaoh-ant-027342",1.56300915909863e-08,0.629733401423207,0.338,0.22,0.000190499556310941,"30","Pharaoh-ant-02734"
"Pharaoh-ant-136732",2.47050158682859e-08,0.484109947697148,0.32,0.201,0.000301104733402669,"30","Pharaoh-ant-13673"
"Pharaoh-ant-170363",2.63447412545555e-08,0.596606962272694,0.478,0.358,0.000321089706410523,"30","Pharaoh-ant-17036"
"Pharaoh-ant-033276",2.78975611746872e-08,0.539441982462485,0.644,0.514,0.000340015475597088,"30","Pharaoh-ant-03327"
"Pharaoh-ant-020538",3.8599205940224e-08,0.393367437238225,0.504,0.354,0.00047044712199945,"30","Pharaoh-ant-02053"
"Pharaoh-ant-161411",4.35228990391172e-08,0.696818118260017,0.252,0.15,0.00053045709348876,"30","Pharaoh-ant-16141"
"Pharaoh-ant-074104",7.07715508944538e-08,0.35297201137421,0.685,0.551,0.000862563662301602,"30","Pharaoh-ant-07410"
"Pharaoh-ant-140254",1.08718744773628e-07,0.691955349317561,0.306,0.194,0.00132506406130098,"30","Pharaoh-ant-14025"
"Pharaoh-ant-139701",1.4125680188681e-07,0.623080650656726,0.421,0.295,0.00172163790139644,"30","Pharaoh-ant-13970"
"Pharaoh-ant-202632",2.44011222047405e-07,0.480633278942485,0.409,0.283,0.00297400877431377,"30","Pharaoh-ant-20263"
