"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled","V6"
"Pharaoh-ant-161616",0,0,"Pharaoh-ant-16161","6",-0.5111035612824,"OG0014008"
"Pharaoh-ant-153916",0.792190725901992,9.20881971465629,"Pharaoh-ant-15391","6",-0.0688865112384324,"OG0002046"
"Pharaoh-ant-028736",4.10559222281054,39.6887159533074,"Pharaoh-ant-02873","6",0.483417980017761,"OG0009660"
"Pharaoh-ant-123086",0.224566641176961,2.59403372243839,"Pharaoh-ant-12308","6",-0.64796749869203,"OG0006053"
"Pharaoh-ant-100716",0.146820994039167,1.55642023346304,"Pharaoh-ant-10071","6",-1.37957308532756,"OG0000081"
"Pharaoh-ant-102996",1.17988722401897,14.1374837872892,"Pharaoh-ant-10299","6",-0.391102875386815,"OG0002296"
"Pharaoh-ant-104306",0.0046124354950896,0.12970168612192,"Pharaoh-ant-10430","6",-0.255667540806534,"OG0000072"
"Pharaoh-ant-184796",0.00973736382296694,0.12970168612192,"Pharaoh-ant-18479","6",-0.559740792593877,"OG0014008"
"Pharaoh-ant-201476",0.0615765357911519,0.907911802853437,"Pharaoh-ant-20147","6",0.765711944488708,"OG0094937"
"Pharaoh-ant-032576",0.0779368878542304,1.16731517509728,"Pharaoh-ant-03257","6",-0.729288891143625,"OG0000006"
"Pharaoh-ant-188216",0.0185686021649133,0.12970168612192,"Pharaoh-ant-18821","6",0.0414441291513692,"OG0039733"
"Pharaoh-ant-157996",0.153237782424597,1.68612191958495,"Pharaoh-ant-15799","6",-0.48293232694752,"OG0000225"
"Pharaoh-ant-020776",0,0,"Pharaoh-ant-02077","6",-0.235811299805307,"OG0006765"
"Pharaoh-ant-007266",0.42329032090687,5.83657587548638,"Pharaoh-ant-00726","6",-0.391273697180744,"OG0000706"
"Pharaoh-ant-149866",0,0,"Pharaoh-ant-14986","6",-0.231353604403713,"OG0039705"
"Pharaoh-ant-124156",0.0533512881163645,0.648508430609598,"Pharaoh-ant-12415","6",-0.237035062321956,"OG0012955"
"Pharaoh-ant-073126",0,0,"Pharaoh-ant-07312","6",-0.445372209431516,"OG0000188"
"Pharaoh-ant-108416",0.466554941420953,5.44747081712062,"Pharaoh-ant-10841","6",0.332788419740273,"OG0000248"
"Pharaoh-ant-056436",0.369340128722714,4.15045395590143,"Pharaoh-ant-05643","6",-0.688524994700949,"OG0000499"
"Pharaoh-ant-184766",0.00532437135147453,0.12970168612192,"Pharaoh-ant-18476","6",-0.201775564001037,"OG0010099"
"Pharaoh-ant-051296",0.235319402298972,3.24254215304799,"Pharaoh-ant-05129","6",0.131618370881474,"OG0000195"
"Pharaoh-ant-108446",0.127809828904582,1.68612191958495,"Pharaoh-ant-10844","6",0.925566300227604,"OG0001936"
"Pharaoh-ant-111136",0.00631766615304041,0.12970168612192,"Pharaoh-ant-11113","6",-0.589508046886895,"OG0015058"
"Pharaoh-ant-090936",0.0624145290833601,0.907911802853437,"Pharaoh-ant-09093","6",1.51062147413226,"OG0014008"
"Pharaoh-ant-090886",0.0201019338674727,0.259403372243839,"Pharaoh-ant-09088","6",0.763990891051227,"OG0014008"
"Pharaoh-ant-110046",0.872115374298612,10.1167315175097,"Pharaoh-ant-11004","6",-0.456960745503355,"OG0005102"
"Pharaoh-ant-117726",0.00716583901226075,0.12970168612192,"Pharaoh-ant-11772","6",0.20887182309715,"OG0000143"
"Pharaoh-ant-012246",0.120067044905018,1.55642023346304,"Pharaoh-ant-01224","6",2.5,"OG0000006"
"Pharaoh-ant-006676",0.0185250491526255,0.259403372243839,"Pharaoh-ant-00667","6",0.79802420251029,"OG0010805"
"Pharaoh-ant-012456",0.338946014199788,4.15045395590143,"Pharaoh-ant-01245","6",-0.848761451644931,"OG0000449"
"Pharaoh-ant-066536",0,0,"Pharaoh-ant-06653","6",-0.598467671609816,"OG0010099"
"Pharaoh-ant-090876",1.23709767683865,14.6562905317769,"Pharaoh-ant-09087","6",0.63744544375609,"OG0000006"
"Pharaoh-ant-184836",0,0,"Pharaoh-ant-18483","6",-0.454022218305603,"OG0014008"
"Pharaoh-ant-166926",0.236993084572834,3.89105058365759,"Pharaoh-ant-16692","6",-0.387973976249007,"OG0009664"
"Pharaoh-ant-111386",0.241704487199617,3.11284046692607,"Pharaoh-ant-11138","6",-0.669589659024232,"OG0001647"
"Pharaoh-ant-120996",0.666904545256481,8.30090791180285,"Pharaoh-ant-12099","6",-0.690299674203798,"OG0004967"
"Pharaoh-ant-152696",0.0175817089966198,0.389105058365759,"Pharaoh-ant-15269","6",-0.90027551432955,"OG0000596"
"Pharaoh-ant-051866",0.170917464150658,2.72373540856031,"Pharaoh-ant-05186","6",-1.1340790965855,"OG0001440"
"Pharaoh-ant-151936",0.335216465234561,5.3177691309987,"Pharaoh-ant-15193","6",1.01445899428499,"OG0002879"
"Pharaoh-ant-178936",0,0,"Pharaoh-ant-17893","6",-0.725241505702151,"OG0000158"
"Pharaoh-ant-137166",4.98516445763144,38.3916990920882,"Pharaoh-ant-13716","6",2.5,"OG0000127"
"Pharaoh-ant-179206",0.123638115862932,1.68612191958495,"Pharaoh-ant-17920","6",-0.738382049420366,"OG0004035"
"Pharaoh-ant-152766",0.914596689186646,10.3761348897536,"Pharaoh-ant-15276","6",0.0755818705508205,"OG0023874"
"Pharaoh-ant-059446",0.553464789636951,8.30090791180285,"Pharaoh-ant-05944","6",0.218447449054504,"OG0001683"
"Pharaoh-ant-178066",0.00528962830839803,0.12970168612192,"Pharaoh-ant-17806","6",-0.187974630925758,"OG0000253"
"Pharaoh-ant-182306",0.0188914726134858,0.259403372243839,"Pharaoh-ant-18230","6",-0.00879501249101817,"OG0007591"
"Pharaoh-ant-137036",0.568385751584423,6.74448767833982,"Pharaoh-ant-13703","6",-0.147480684075681,"OG0000777"
"Pharaoh-ant-182526",0.710362872728384,7.2632944228275,"Pharaoh-ant-18252","6",-0.239335495470462,"OG0001884"
"Pharaoh-ant-160436",0.0845812392571703,0.907911802853437,"Pharaoh-ant-16043","6",1.20279038103045,"OG0000462"
"Pharaoh-ant-009916",0,0,"Pharaoh-ant-00991","6",-0.315025321695993,"OG0003652"
"Pharaoh-ant-124326",0.00585825140568742,0.12970168612192,"Pharaoh-ant-12432","6",1.40632094029744,"OG0000188"
"Pharaoh-ant-103646",0.00770657671550324,0.12970168612192,"Pharaoh-ant-10364","6",-0.0276833905977433,"OG0000248"
"Pharaoh-ant-188116",0.0373722202228414,0.648508430609598,"Pharaoh-ant-18811","6",1.67126154943095,"OG0094936"
"Pharaoh-ant-081066",0.0372419989638302,0.518806744487678,"Pharaoh-ant-08106","6",-0.276557192996895,"OG0000195"
"Pharaoh-ant-042156",0.031215460335251,0.389105058365759,"Pharaoh-ant-04215","6",-0.374344969726573,"OG0010328"
"Pharaoh-ant-113006",0.179705596446269,2.72373540856031,"Pharaoh-ant-11300","6",-0.122943697294127,"OG0003652"
"Pharaoh-ant-174806",0.00568867044394384,0.12970168612192,"Pharaoh-ant-17480","6",-0.332614582209193,"OG0002296"
"Pharaoh-ant-166406",0.267966302178588,4.15045395590143,"Pharaoh-ant-16640","6",-0.267499743056514,"OG0002518"
"Pharaoh-ant-040096",0,0,"Pharaoh-ant-04009","6",-0.446332013257385,"OG0000072"
"Pharaoh-ant-081516",1.33657394647244,12.4513618677043,"Pharaoh-ant-08151","6",0.786088716254164,"OG0000004"
"Pharaoh-ant-055706",1.39681546385419,17.1206225680934,"Pharaoh-ant-05570","6",0.324519027239455,"OG0004131"
"Pharaoh-ant-096396",4.07278156677533,38.3916990920882,"Pharaoh-ant-09639","6",2.12384756931604,"OG0003480"
"Pharaoh-ant-122026",0,0,"Pharaoh-ant-12202","6",-0.409598221391363,"OG0000248"
"Pharaoh-ant-075146",0.101693364775004,1.42671854734112,"Pharaoh-ant-07514","6",-0.750815821461251,"OG0011617"
"Pharaoh-ant-162386",0.35329809797616,4.28015564202335,"Pharaoh-ant-16238","6",-0.0751814715573749,"OG0094822"
"Pharaoh-ant-057186",0.276672612040422,4.28015564202335,"Pharaoh-ant-05718","6",-0.985591350370267,"OG0000188"
"Pharaoh-ant-166076",1.6005088200957,13.2295719844358,"Pharaoh-ant-16607","6",-0.117633720543718,"OG0000291"
"Pharaoh-ant-025026",0,0,"Pharaoh-ant-02502","6",-0.482949628362503,"OG0009736"
"Pharaoh-ant-184846",0.00446631150557574,0.12970168612192,"Pharaoh-ant-18484","6",0.216861777052443,"OG0014008"
"Pharaoh-ant-097896",0.0217255755648107,0.12970168612192,"Pharaoh-ant-09789","6",0.20682234941413,"OG0000303"
