,avg.exp,pct.exp,features.plot,id,avg.exp.scaled,OG
AAEL004533,14.9561940588774,86.820356676816,AAEL004533,0,0.570339581681199,OG0001683
AAEL005437,14.372186451447,78.5123966942149,AAEL005437,0,0.511707985257449,OG0000180
AAEL008894,8.12746064832554,73.2927359721618,AAEL008894,0,0.590919312428311,OG0023874
AAEL010626,2.08269504051733,25.3588516746411,AAEL010626,0,1.56323749827002,OG0000004
AAEL017005,7.92030838824997,44.8020878642888,AAEL017005,0,2.14766425828356,OG0000004
AAEL019491,1.91828380243146,26.9682470639408,AAEL019491,0,1.9290841876358,OG0000303
AAEL019766,12.7556401842767,69.1170073945194,AAEL019766,0,0.880179702108735,OG0000006
AAEL024147,3.04740286524304,41.8007829491083,AAEL024147,0,0.658653547093164,OG0000188
AAEL0045331,15.1032549176545,96.8483816013629,AAEL004533,1,0.59061401737773,OG0001683
AAEL0047771,3.51329567357578,55.366269165247,AAEL004777,1,0.506528049810068,OG0000149
AAEL0058031,1.48573808015559,33.7308347529813,AAEL005803,1,1.5588711704806,OG0000596
AAEL0086551,1.23828407647409,26.0647359454855,AAEL008655,1,1.95292833764062,OG0000303
AAEL0098221,0.899668997037576,29.1311754684838,AAEL009822,1,0.664029437357303,OG0000067
AAEL0106261,1.68510362266868,36.2862010221465,AAEL010626,1,1.00927658528788,OG0000004
AAEL0114751,1.21727758650252,32.1124361158433,AAEL011475,1,0.633788692826941,OG0000303
AAEL0129201,1.56163125489993,30.4940374787053,AAEL012920,1,1.12423937005509,OG0000004
AAEL0170051,7.23378758905841,62.9471890971039,AAEL017005,1,1.82813651017268,OG0000004
AAEL0171811,1.73979355981553,46.0817717206133,AAEL017181,1,0.732840302531375,OG0000499
AAEL0173351,2.3487866235444,43.4412265758092,AAEL017335,1,1.39851671874862,OG0000596
AAEL0194911,2.09767222037272,45.2299829642249,AAEL019491,1,2.30555956731397,OG0000303
AAEL0196071,1.31924585298509,34.2419080068143,AAEL019607,1,1.08125255647087,OG0000596
AAEL0196081,4.76258704053594,63.3730834752981,AAEL019608,1,0.590467443988274,OG0001884
AAEL0197561,0.892639451673603,27.5979557069847,AAEL019756,1,0.50736037364602,OG0000195
AAEL0197661,11.7867528641225,83.3901192504259,AAEL019766,1,0.714418876837123,OG0000006
AAEL0198811,1.33599845815205,32.4531516183986,AAEL019881,1,0.523215160484432,OG0004091
AAEL0208931,0.921578606082367,28.7052810902896,AAEL020893,1,0.94141452939345,OG0000149
AAEL0241471,3.19705427955943,67.3764906303237,AAEL024147,1,0.763165311025788,OG0000188
AAEL0019402,1.97323726058983,27.1929824561404,AAEL001940,2,1.34545463617476,OG0003892
AAEL0033782,9.50017671791333,47.953216374269,AAEL003378,2,0.853925093578775,OG0000291
AAEL0058742,2.92702082687344,38.3040935672515,AAEL005874,2,1.27021734169247,OG0004946
AAEL0100432,7.91562355185797,44.1520467836257,AAEL010043,2,1.76889020871435,OG0000081
AAEL0135052,11.5746683833635,53.2163742690059,AAEL013505,2,0.731403604051791,OG0000004
AAEL0194372,30.8285474698508,73.0994152046784,AAEL019437,2,2.5,OG0000006
AAEL0194632,2.14246090826587,25.1461988304094,AAEL019463,2,2.5,OG0000777
AAEL0197042,2.46674640875813,31.5789473684211,AAEL019704,2,1.14118597887404,OG0000195
AAEL0197142,2.80718712809411,35.672514619883,AAEL019714,2,0.787976613107246,OG0003786
AAEL0197902,2.03144582989696,25.7309941520468,AAEL019790,2,1.18613588583793,OG0000195
AAEL0241472,5.5996991719993,54.9707602339181,AAEL024147,2,2.44109569985403,OG0000188
AAEL0260432,21.5184110408361,79.2397660818713,AAEL026043,2,2.5,OG0000006
AAEL0272422,19.6369703415478,75.7309941520468,AAEL027242,2,2.5,OG0000006
AAEL0002463,1.69217658073454,28.9473684210526,AAEL000246,3,1.96640752299005,OG0001936
AAEL0043993,3.3717632691521,43.421052631579,AAEL004399,3,2.5,OG0000149
AAEL0045333,23.6280013847945,89.1447368421053,AAEL004533,3,1.76587183590593,OG0001683
AAEL0054373,20.8351087861906,82.8947368421053,AAEL005437,3,1.94466666252842,OG0000180
AAEL0058343,12.8480474441813,85.5263157894737,AAEL005834,3,0.869783756834502,OG0000006
AAEL0059523,11.8605506879096,83.2236842105263,AAEL005952,3,1.04216757949659,OG0000006
AAEL0064903,2.90401614686425,38.8157894736842,AAEL006490,3,2.5,OG0000081
AAEL0083603,1.49155762334952,25.3289473684211,AAEL008360,3,2.07435811823603,OG0000006
AAEL0088943,9.76692818026185,80.9210526315789,AAEL008894,3,1.47362760848047,OG0023874
AAEL0100433,7.70085576243869,62.5,AAEL010043,3,1.69862138317262,OG0000081
AAEL0141523,1.3615725696724,25.9868421052632,AAEL014152,3,0.648632699476465,OG0003317
AAEL0170053,4.94074352303326,45.7236842105263,AAEL017005,3,0.760883766193389,OG0000004
AAEL0171603,2.50006664796886,32.2368421052632,AAEL017160,3,1.86448640197913,OG0000248
AAEL0194373,16.8706243275791,89.8026315789474,AAEL019437,3,1.59212041341108,OG0000006
AAEL0197563,2.20168659230974,32.2368421052632,AAEL019756,3,2.5,OG0000195
AAEL0197663,22.2389928885806,91.1184210526316,AAEL019766,3,2.5,OG0000006
AAEL0197903,3.12873190309151,42.1052631578947,AAEL019790,3,2.5,OG0000195
AAEL0198813,2.59923777477569,32.5657894736842,AAEL019881,3,2.38063236750998,OG0004091
AAEL0038374,17.6890891611916,54.5454545454545,AAEL003837,4,2.5,OG0000632
AAEL0170054,6.13841110575763,26.9360269360269,AAEL017005,4,1.31831483913973,OG0000004
AAEL0002665,4.08286616443188,43.9862542955326,AAEL000266,5,1.4735216811867,OG0000006
AAEL0045335,16.1454549661648,86.2542955326461,AAEL004533,5,0.734296150354189,OG0001683
AAEL0049825,3.8890404868373,45.7044673539519,AAEL004982,5,0.536154567172261,OG0000961
AAEL0058345,10.7781262740208,77.319587628866,AAEL005834,5,0.547223757208331,OG0000006
AAEL0060775,10.512658005352,63.9175257731959,AAEL006077,5,1.780830030544,OG0000004
AAEL0088945,8.37236346945805,69.0721649484536,AAEL008894,5,0.722777826079341,OG0023874
AAEL0104085,3.27331140598229,38.8316151202749,AAEL010408,5,1.07824338743499,OG0000127
AAEL0197105,58.4738246444877,98.9690721649485,AAEL019710,5,1.43264468757975,OG0000615
AAEL0198045,9.72712688271277,76.6323024054983,AAEL019804,5,2.5,OG0000006
AAEL0211005,41.6489384345734,98.9690721649485,AAEL021100,5,1.56314588547765,OG0000006
AAEL0002666,3.19228977347202,38.4892086330935,AAEL000266,6,0.781282366932912,OG0000006
AAEL0045336,16.7060502261893,86.6906474820144,AAEL004533,6,0.811582198087486,OG0001683
AAEL0049826,3.96964494615153,46.7625899280576,AAEL004982,6,0.584412247948396,OG0000961
AAEL0058346,10.7414711877688,74.1007194244604,AAEL005834,6,0.541511721031208,OG0000006
AAEL0060776,20.4339465748355,92.0863309352518,AAEL006077,6,2.5,OG0000004
AAEL0061136,2.28519342023368,25.5395683453237,AAEL006113,6,1.72055778875334,OG0002608
AAEL0071046,6.25739530663513,56.1151079136691,AAEL007104,6,0.644412287455176,OG0001295
AAEL0071696,2.41280537552231,26.6187050359712,AAEL007169,6,2.5,OG0000004
AAEL0081386,4.98532142940608,48.9208633093525,AAEL008138,6,1.42985388977025,OG0000777
AAEL0127966,3.19247597406059,26.2589928057554,AAEL012796,6,0.551310616206397,OG0000596
AAEL0197046,2.26977122202647,25.8992805755396,AAEL019704,6,0.882835392943012,OG0000195
AAEL0198046,5.53624029181008,52.158273381295,AAEL019804,6,2.22920628868574,OG0000006
AAEL0198056,8.26622353165426,59.7122302158273,AAEL019805,6,0.711597212686035,OG0010328
AAEL0211006,39.2498544600967,98.9208633093525,AAEL021100,6,1.38793074170596,OG0000006
AAEL0241996,4.85286395896959,43.1654676258993,AAEL024199,6,2.5,OG0000225
AAEL0274446,2.78817830137604,32.7338129496403,AAEL027444,6,0.761997772567755,OG0000547
AAEL0058747,2.50355539002964,31.0344827586207,AAEL005874,7,0.740213558836434,OG0004946
AAEL0061137,1.75582074961632,25.6704980842912,AAEL006113,7,0.546689470505976,OG0002608
AAEL0095747,2.02318520390705,26.4367816091954,AAEL009574,7,1.90580566481092,OG0000188
AAEL0131287,15.1730367779999,74.3295019157088,AAEL013128,7,2.5,OG0001440
AAEL0197047,3.60702245083139,40.6130268199234,AAEL019704,7,2.5,OG0000195
AAEL0241477,3.20008925386097,42.1455938697318,AAEL024147,7,0.765284840060596,OG0000188
AAEL0002668,3.88583802969668,42.7312775330396,AAEL000266,8,1.32037297630043,OG0000006
AAEL0069478,5.70147315709558,44.4933920704846,AAEL006947,8,1.04320962729934,OG0000004
AAEL0089168,25.5071281410351,93.8325991189427,AAEL008916,8,0.708561627836735,OG0000661
AAEL0171818,1.87851857057942,26.431718061674,AAEL017181,8,0.906098496847405,OG0000499
AAEL0197048,2.8616179987804,30.8370044052863,AAEL019704,8,1.65909540869856,OG0000195
AAEL0274448,2.70740121561059,32.5991189427313,AAEL027444,8,0.673605976124216,OG0000547
AAEL0049829,4.36634048910649,57.0652173913043,AAEL004982,9,0.821912840844935,OG0000961
AAEL0058349,16.2098554016798,92.3913043478261,AAEL005834,9,1.39366108566531,OG0000006
AAEL0059459,19.6569324844553,94.0217391304348,AAEL005945,9,0.675096411152718,OG0000006
AAEL0068449,10.9185486541643,77.7173913043478,AAEL006844,9,2.5,OG0000006
AAEL0069479,6.15046257366259,58.1521739130435,AAEL006947,9,1.21178000634159,OG0000004
AAEL0071049,6.40625656640557,69.5652173913043,AAEL007104,9,0.693668131256872,OG0001295
AAEL0088949,9.47031645844298,79.3478260869565,AAEL008894,9,1.31392842416872,OG0023874
AAEL0089169,54.0227445829454,98.9130434782609,AAEL008916,9,2.5,OG0000661
AAEL0114759,1.41286434613263,26.6304347826087,AAEL011475,9,1.07984770379056,OG0000303
AAEL0128879,22.7571356855791,90.2173913043478,AAEL012887,9,1.28701934786805,OG0000248
AAEL0172389,4.11645449977616,41.8478260869565,AAEL017238,9,1.91741767121615,OG0000004
AAEL0183529,33.3222822451255,97.2826086956522,AAEL018352,9,0.531464762441191,OG0000022
AAEL0197109,49.8765926092953,99.4565217391304,AAEL019710,9,1.00412905394215,OG0000615
AAEL0197579,13.1740435556933,84.7826086956522,AAEL019757,9,2.5,OG0000081
AAEL0197669,20.2346436646541,91.8478260869565,AAEL019766,9,2.15971527175513,OG0000006
AAEL0211009,56.6031421426045,100,AAEL021100,9,2.5,OG0000006
AAEL0244809,2.49035429927073,36.4130434782609,AAEL024480,9,1.7460789357407,OG0000127
AAEL00026610,2.87717504394318,33.9506172839506,AAEL000266,10,0.536345709623577,OG0000006
AAEL00052810,4.59440306673329,44.4444444444444,AAEL000528,10,0.822667197712338,OG0015066
AAEL00473210,6.04318484805255,47.5308641975309,AAEL004732,10,0.961920036397534,OG0000004
AAEL00477710,5.81745379314709,55.5555555555556,AAEL004777,10,1.71827747726078,OG0000149
AAEL00498210,7.55722255989103,67.9012345679012,AAEL004982,10,2.5,OG0000961
AAEL00594510,31.6426097088421,99.3827160493827,AAEL005945,10,2.06686922827992,OG0000006
AAEL00684410,4.28427785595574,46.9135802469136,AAEL006844,10,0.583387919491254,OG0000006
AAEL00710410,8.92815827128516,75.3086419753086,AAEL007104,10,1.5281256432405,OG0001295
AAEL00891610,34.9039739945735,99.3827160493827,AAEL008916,10,1.4673966029682,OG0000661
AAEL01040810,2.91315200411157,37.6543209876543,AAEL010408,10,0.781588920815497,OG0000127
AAEL01727210,5.16669986403543,54.320987654321,AAEL017272,10,0.839292015487412,OG0000006
AAEL01737410,5.97589684291863,55.5555555555556,AAEL017374,10,0.536885394362613,OG0000248
AAEL01835210,61.8859680926729,100,AAEL018352,10,2.34099404196551,OG0000022
AAEL01971010,48.7156810555595,98.7654320987654,AAEL019710,10,0.946265226606801,OG0000615
AAEL02110010,32.6332189246799,94.4444444444444,AAEL021100,10,0.90469015531681,OG0000006
AAEL02258910,8.76116115687312,74.6913580246914,AAEL022589,10,2.5,OG0017114
