"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG11686",0,3.02941453505502,0.653,0.007,0,"52","CG11686"
"CG13117",0,3.00169223182867,0.661,0.005,0,"52","CG13117"
"NimB3",0,2.97896724944202,0.711,0.001,0,"52","NimB3"
"CG31777",0,2.97174088078469,0.702,0.001,0,"52","CG31777"
"CG6553",0,2.94328884049779,0.636,0,0,"52","CG6553"
"Gel2",0,2.89475888051388,0.76,0.041,0,"52","Gel"
"NimB4",0,2.87988102631851,0.686,0.004,0,"52","NimB4"
"jtb",0,2.84889215538635,0.678,0.002,0,"52","jtb"
"Cyp6d5",0,2.83118327726205,0.686,0.003,0,"52","Cyp6d5"
"Syb4",0,2.78789970401003,0.802,0.035,0,"52","Syb"
"Mec2",0,2.70051139779348,0.653,0.001,0,"52","Mec2"
"CG11400",0,2.63646401164335,0.628,0.001,0,"52","CG11400"
"CG43103",0,2.62826505662029,0.545,0.002,0,"52","CG43103"
"Glt",0,2.60504369570814,0.471,0.001,0,"52","Glt"
"CG9372",0,2.58244243269354,0.653,0.001,0,"52","CG9372"
"CG13488",0,2.57533510379777,0.529,0,0,"52","CG13488"
"CG15347",0,2.57006987748989,0.545,0,0,"52","CG15347"
"CG5397",0,2.49006099283681,0.628,0.001,0,"52","CG5397"
"Jabba",0,2.37039902625793,0.653,0.002,0,"52","Jabba"
"Tis112",0,2.30027588775706,0.612,0.02,0,"52","Tis11"
"CG31313",0,2.2933894109388,0.339,0.003,0,"52","CG31313"
"CG4259",0,2.28849941836046,0.603,0,0,"52","CG4259"
"PGRP-SA",0,2.26047850577225,0.43,0.001,0,"52","PGRP-SA"
"mthl2",0,2.22926457264618,0.587,0,0,"52","mthl2"
"CG8501",0,2.21912865630146,0.504,0,0,"52","CG8501"
"CG32091",0,2.19342543424942,0.529,0.006,0,"52","CG32091"
"CG42867",0,2.15130886438012,0.537,0.004,0,"52","CG42867"
"CG5958",0,2.14506792798218,0.488,0.001,0,"52","CG5958"
